airline,airline_code,year,month,total_flights,delayed_flights,avg_delay_mins,avg_arr_delay,carrier_delay,weather_delay,nas_delay,late_ac_delay,delay_rate
Alaska Airlines Inc,AS,2019,1,2035,259,2.74,0.5597051597051597,2.0574938574938577,0.23783783783783785,4.568058968058968,2.4776412776412777,0.12727272727272726
Alaska Airlines Inc,AS,2019,2,1857,419,10.94,11.751750134625741,3.5175013462574043,0.9165320409262251,7.707592891760905,6.054388799138395,0.22563274098007538
Alaska Airlines Inc,AS,2019,3,2203,355,4.16,0.34226055379028597,2.4144348615524285,0.1643213799364503,3.4443940081706765,2.681797548797095,0.16114389468906037
Alaska Airlines Inc,AS,2019,4,2103,284,2.95,-2.0137898240608654,3.0660960532572514,0.007132667617689016,2.1207798383262007,2.544935805991441,0.1350451735615787
Alaska Airlines Inc,AS,2019,5,2317,310,2.88,0.3349158394475615,1.900733707380233,0.3638325420802762,3.4022442813983598,2.3094518774277084,0.13379369874838154
Alaska Airlines Inc,AS,2019,6,2349,373,5.06,1.367816091954023,2.802469135802469,0.18050234142188165,2.687526607066837,3.120476798637718,0.1587909748829289
Alaska Airlines Inc,AS,2019,7,2509,353,3.77,-1.0099641291351136,1.939816660023914,0.30569948186528495,2.75966520526106,2.754483858110801,0.1406935033878039
Alaska Airlines Inc,AS,2019,8,2553,494,6.83,3.3251077164120644,2.653740697218958,0.1609870740305523,3.289855072463768,4.174304739522131,0.1934978456717587
Alaska Airlines Inc,AS,2019,9,2182,325,3.53,0.22089825847846012,2.5,0.07332722273143905,3.176443629697525,2.4780018331805684,0.14894592117323557
Alaska Airlines Inc,AS,2019,10,2230,295,2.48,-1.8237668161434977,1.8390134529147981,0.4139013452914798,2.280269058295964,2.8080717488789237,0.13228699551569506
Alaska Airlines Inc,AS,2019,11,2047,279,2.26,-2.6248168050806058,2.1333659013190034,0.07425500732779677,2.4870542256961405,2.3722520762090866,0.13629702002931118
Alaska Airlines Inc,AS,2019,12,2313,505,10.31,5.955036748811068,3.632511889321228,0.023346303501945526,3.748378728923476,5.824470384781669,0.21833117163856464
Alaska Airlines Inc,AS,2022,1,1603,335,8.19,5.873362445414847,4.558951965065503,0.4903306300686213,2.671865252651279,4.933250155957579,0.20898315658140987
Alaska Airlines Inc,AS,2022,2,1560,212,2.83,-0.4269230769230769,2.573717948717949,0.18333333333333332,1.992948717948718,2.6858974358974357,0.1358974358974359
Alaska Airlines Inc,AS,2022,3,1946,271,4.24,0.8412127440904419,2.547790339157246,0.18345323741007194,2.1197327852004113,2.724563206577595,0.13926002055498457
Alaska Airlines Inc,AS,2022,4,1893,376,8.04,5.929741151611199,4.303222398309561,0.5493924986793449,3.0369783412572637,4.024300052826201,0.19862651875330165
Alaska Airlines Inc,AS,2022,5,1946,328,5.12,2.5462487153134634,3.1120246659815005,0.2132579650565262,2.5,3.091983556012333,0.1685508735868448
Alaska Airlines Inc,AS,2022,6,1989,344,6.04,4.323278029160382,3.2951231774761185,0.363499245852187,3.0246354952237304,3.3800904977375565,0.17295123177476118
Alaska Airlines Inc,AS,2022,7,1980,299,4.62,1.463131313131313,3.0823232323232324,0.18787878787878787,2.022727272727273,2.926767676767677,0.151010101010101
Alaska Airlines Inc,AS,2022,8,2084,329,4.51,1.3550863723608446,2.0882917466410746,0.19193857965451055,2.669865642994242,3.396353166986564,0.15786948176583493
Alaska Airlines Inc,AS,2022,9,1975,320,4.54,0.9888607594936709,2.8162025316455694,0.1848101265822785,2.316962025316456,2.88253164556962,0.1620253164556962
Alaska Airlines Inc,AS,2022,10,2018,280,3.24,-1.3523290386521307,2.9286422200198214,0.4192269573835481,1.684340931615461,2.1823587710604557,0.13875123885034688
Alaska Airlines Inc,AS,2022,11,1888,310,6.06,4.384533898305085,2.3416313559322033,1.2807203389830508,3.530720338983051,3.9862288135593222,0.1641949152542373
Alaska Airlines Inc,AS,2022,12,1812,615,19.3,18.53532008830022,6.373620309050772,1.596026490066225,5.913907284768212,8.94150110375276,0.3394039735099338
Alaska Airlines Inc,AS,2023,1,1980,375,6.6,3.3535353535353534,2.855050505050505,0.2813131313131313,3.7065656565656564,4.068686868686869,0.1893939393939394
Alaska Airlines Inc,AS,2023,2,1771,356,7.72,5.680971202710333,3.860530773574252,0.6640316205533597,3.1914172783738,4.902879728966686,0.2010163749294184
Alaska Airlines Inc,AS,2023,3,1991,398,6.92,4.3505775991963835,2.516323455549975,0.4324460070316424,2.872425916624812,4.123556002009041,0.1998995479658463
Alaska Airlines Inc,AS,2023,4,1939,392,7.24,5.251160391954616,3.8019597730789068,0.185146982980918,3.403816400206292,3.9066529138731303,0.20216606498194944
Alaska Airlines Inc,AS,2023,5,2070,314,3.65,0.1067632850241546,2.2096618357487925,0.24830917874396136,2.0734299516908212,2.927536231884058,0.15169082125603864
Alaska Airlines Inc,AS,2023,6,2208,458,7.59,4.5018115942028984,3.5135869565217392,0.25271739130434784,2.623641304347826,4.376358695652174,0.20742753623188406
Alaska Airlines Inc,AS,2023,7,2286,495,9.73,6.104549431321085,3.4461942257217846,0.352580927384077,3.0704286964129484,5.290463692038495,0.21653543307086615
Alaska Airlines Inc,AS,2023,8,2390,460,7.05,4.398744769874477,3.507531380753138,0.7870292887029289,2.5380753138075316,3.9418410041841003,0.19246861924686193
Allegiant Air,G4,2019,1,682,142,9.7,8.637829912023461,5.105571847507331,0.4530791788856305,3.1085043988269794,5.8885630498533725,0.20821114369501467
Allegiant Air,G4,2019,2,716,161,12.63,11.541899441340782,5.004189944134078,1.7527932960893855,3.094972067039106,8.243016759776536,0.22486033519553073
Allegiant Air,G4,2019,3,1004,144,5.52,1.909362549800797,3.6185258964143427,0.9093625498007968,1.0597609561752988,4.47410358565737,0.14342629482071714
Allegiant Air,G4,2019,4,916,172,9.84,7.312227074235808,4.096069868995633,1.6888646288209608,1.9421397379912664,5.71943231441048,0.18777292576419213
Allegiant Air,G4,2019,5,940,159,6.68,4.519148936170213,3.275531914893617,1.126595744680851,1.4914893617021276,4.768085106382979,0.16914893617021276
Allegiant Air,G4,2019,6,1152,295,14.04,13.3671875,4.920138888888889,1.9539930555555556,2.6649305555555554,8.55295138888889,0.2560763888888889
Allegiant Air,G4,2019,7,1217,253,10.73,8.309778142974528,5.37962202136401,2.684470008216927,1.2226787181594083,5.688578471651602,0.20788824979457682
Allegiant Air,G4,2019,8,873,184,11.79,10.491408934707904,5.764032073310424,1.3241695303550973,3.13631156930126,6.514318442153494,0.21076746849942726
Allegiant Air,G4,2019,9,599,80,3.75,0.25208681135225375,3.5158597662771287,0.7295492487479132,1.1469115191986645,2.8030050083472453,0.1335559265442404
Allegiant Air,G4,2019,10,783,134,8.21,4.753512132822478,4.931034482758621,0.3665389527458493,0.89272030651341,5.393358876117497,0.17113665389527458
Allegiant Air,G4,2019,11,859,128,6.29,3.937136204889406,5.353899883585565,0.5750873108265425,1.1373690337601863,3.1944121071012805,0.1490104772991851
Allegiant Air,G4,2019,12,988,215,11.17,10.18927125506073,5.321862348178137,0.7793522267206477,2.966599190283401,6.327935222672065,0.21761133603238866
Allegiant Air,G4,2022,1,784,204,11.13,11.220663265306122,5.260204081632653,1.663265306122449,3.292091836734694,7.067602040816326,0.2602040816326531
Allegiant Air,G4,2022,2,848,234,13.89,13.890330188679245,6.558962264150943,1.1084905660377358,3.4587264150943398,7.82311320754717,0.2759433962264151
Allegiant Air,G4,2022,3,1151,383,18.18,20.870547350130323,6.190269331016507,0.5160729800173762,6.647263249348392,9.841876629018245,0.3327541268462207
Allegiant Air,G4,2022,4,1045,374,21.09,23.84976076555024,5.522488038277512,1.0555023923444975,6.811483253588516,12.526315789473685,0.35789473684210527
Allegiant Air,G4,2022,5,973,292,17.22,16.8191161356629,6.16546762589928,1.3607399794450155,3.0020554984583763,10.055498458376157,0.3001027749229188
Allegiant Air,G4,2022,6,1142,404,22.1,23.13835376532399,7.049036777583187,0.8213660245183888,4.939579684763573,13.078809106830123,0.35376532399299476
Allegiant Air,G4,2022,7,1245,405,27.29,29.481927710843372,8.326104417670683,2.2144578313253014,4.63855421686747,16.902008032128514,0.3253012048192771
Allegiant Air,G4,2022,8,926,257,17.44,18.831533477321813,6.146868250539957,1.3833693304535637,3.806695464362851,11.022678185745141,0.2775377969762419
Allegiant Air,G4,2022,9,702,139,12.05,11.613960113960115,6.925925925925926,0.8361823361823362,3.9800569800569803,5.373219373219373,0.198005698005698
Allegiant Air,G4,2022,10,895,190,10.54,9.405586592178771,6.012290502793296,0.19329608938547485,2.981005586592179,5.4737430167597765,0.2122905027932961
Allegiant Air,G4,2022,11,853,239,17.24,17.50175849941383,7.131301289566236,1.8300117233294255,5.030480656506448,8.405627198124268,0.2801875732708089
Allegiant Air,G4,2022,12,998,316,26.44,27.906813627254508,11.112224448897795,2.3266533066132267,5.597194388777555,13.03306613226453,0.3166332665330661
Allegiant Air,G4,2023,1,862,233,16.79,15.022041763341067,8.037122969837586,0.574245939675174,6.1496519721577725,7.273781902552204,0.2703016241299304
Allegiant Air,G4,2023,2,814,188,11.25,7.7309582309582305,3.36977886977887,3.031941031941032,2.826781326781327,6.825552825552825,0.23095823095823095
Allegiant Air,G4,2023,3,1067,343,21.54,23.390815370196812,5.4611059044048735,2.2089971883786315,7.471415182755389,12.994376757263355,0.32146204311152765
Allegiant Air,G4,2023,4,1084,274,16.81,14.994464944649447,5.226937269372693,1.4612546125461254,5.310885608856089,9.603321033210332,0.25276752767527677
Allegiant Air,G4,2023,5,937,162,8.01,6.0811099252934895,3.1494130202774815,3.1216648879402347,2.5784418356456777,4.8580576307363925,0.1728922091782284
Allegiant Air,G4,2023,6,1148,292,19.56,20.470383275261323,6.826655052264808,1.8658536585365855,7.003484320557491,9.611498257839722,0.25435540069686413
Allegiant Air,G4,2023,7,1278,375,27.44,30.546948356807512,11.674491392801253,4.140062597809076,5.745696400625978,13.03129890453834,0.2934272300469484
Allegiant Air,G4,2023,8,833,219,23.11,23.129651860744296,10.846338535414166,3.930372148859544,4.549819927971188,9.271308523409363,0.26290516206482595
American Airlines Inc,AA,2019,1,7699,1203,7.35,3.144564229120665,2.987530848162099,0.5581244317443824,2.757630861150799,3.9212884790232496,0.15625405896869723
American Airlines Inc,AA,2019,2,7170,1440,11.31,8.01297071129707,4.8638772663877266,0.6736401673640168,3.6550906555090656,5.13207810320781,0.200836820083682
American Airlines Inc,AA,2019,3,7996,1492,10.85,5.687718859429715,4.2277388694347176,0.45110055027513757,2.194222111055528,5.65520260130065,0.18659329664832416
American Airlines Inc,AA,2019,4,7451,1478,12.23,7.714669171923232,4.782713729700712,0.8522345993826332,3.3292175546906457,5.664877197691585,0.1983626358878003
American Airlines Inc,AA,2019,5,8131,2032,16.41,13.105768048210551,5.072684786619112,1.4972328126921657,4.337842823760915,7.737916615422457,0.2499077604230722
American Airlines Inc,AA,2019,6,7730,2154,18.92,15.342173350582147,6.964812419146184,1.0644243208279431,4.570763260025873,8.190297542043984,0.27865459249676583
American Airlines Inc,AA,2019,7,8075,1960,16.82,10.741052631578947,5.651269349845201,1.4754179566563468,3.371269349845201,7.539318885448917,0.24272445820433436
American Airlines Inc,AA,2019,8,8201,1813,14.48,9.16376051701012,5.141202292403365,1.220095110352396,3.651383977563712,6.478356298012438,0.2210706011462017
American Airlines Inc,AA,2019,9,7881,1164,7.96,1.639005202385484,3.516051262530136,0.3259738611851288,2.677071437634818,4.204542570739754,0.1476969927674153
American Airlines Inc,AA,2019,10,8062,1456,10.29,5.107169436864302,4.379806499627884,0.7300917886380551,2.6402877697841727,4.72909947903746,0.18060034730836022
American Airlines Inc,AA,2019,11,7928,1126,7.39,0.4648082744702321,4.221367305751766,0.11995459132189708,1.5648335015136225,3.563193743693239,0.1420282542885974
American Airlines Inc,AA,2019,12,8067,1417,9.82,4.046733606049337,4.015123342010661,0.2663939506631957,2.8320317342258585,4.551878021569356,0.17565389859923144
American Airlines Inc,AA,2022,1,6656,1033,8.05,-0.7295673076923077,5.315955528846154,0.5112680288461539,1.6296574519230769,3.736027644230769,0.15519831730769232
American Airlines Inc,AA,2022,2,6168,1193,12.92,8.747730220492866,7.228599221789883,0.9709792477302205,2.8030155642023344,4.657749675745785,0.1934176394293126
American Airlines Inc,AA,2022,3,7177,1234,10.95,5.415493938971715,6.135989967953184,0.15563605963494495,2.3855371325066184,4.41702661279086,0.17193813571129998
American Airlines Inc,AA,2022,4,6751,1386,13.2,8.090949488964597,5.198785365131092,0.8745371056139831,2.798548363205451,6.086653829062361,0.20530291808620946
American Airlines Inc,AA,2022,5,7056,1418,13.34,8.348922902494332,5.2854308390022675,1.0593820861678005,2.737386621315193,6.264030612244898,0.20096371882086167
American Airlines Inc,AA,2022,6,7097,2176,22.63,18.848245737635622,8.481189234887982,1.1792306608426095,3.2526419613921376,10.730449485698182,0.30660842609553335
American Airlines Inc,AA,2022,7,7457,2139,21.39,17.3492020919941,8.787313933217112,1.1287380984310045,2.9694247016226365,10.061821107684056,0.2868445755665817
American Airlines Inc,AA,2022,8,7599,1844,16.75,12.855244111067245,6.811685748124753,1.500065798131333,3.139228845900776,7.544282142387156,0.2426635083563627
American Airlines Inc,AA,2022,9,7162,1328,11.4,5.997765987154426,5.33845294610444,0.6355766545657637,1.866238480871265,5.827003630270874,0.18542306618263055
American Airlines Inc,AA,2022,10,7766,1311,11.88,6.224439866082926,4.8256502704094775,0.5485449394797837,1.6323718774143703,6.889647180015452,0.16881277362863764
American Airlines Inc,AA,2022,11,7491,1430,12.0,7.746228807902817,5.511947670537979,0.328527566413029,2.2277399546122014,6.420371112001068,0.19089574155653452
American Airlines Inc,AA,2022,12,7582,2020,20.52,16.514639936692166,7.188340807174888,1.1846478501714588,2.4893168029543657,11.386441572144554,0.2664204695331047
American Airlines Inc,AA,2023,1,7460,1493,14.21,10.465281501340483,5.731233243967829,0.94343163538874,3.935790884718499,6.782037533512065,0.20013404825737266
American Airlines Inc,AA,2023,2,7031,1447,13.33,8.580571753662353,5.522116341914379,0.7488266249466647,2.1336936424406203,7.546863888493813,0.2058028729910397
American Airlines Inc,AA,2023,3,7862,1915,18.01,15.219918595777155,6.9131264309336045,0.8416433477486644,3.2779191045535487,9.654413635207327,0.24357669804121088
American Airlines Inc,AA,2023,4,7736,1889,18.6,15.038779731127198,6.266546018614271,0.8715098241985523,3.4251551189245086,10.962254395036194,0.24418304033092036
American Airlines Inc,AA,2023,5,8049,1723,16.89,10.26139893154429,6.898620946701453,0.7274195552242515,1.7241893402907194,8.89265747297801,0.21406385886445523
American Airlines Inc,AA,2023,6,7996,2327,26.54,22.581165582791396,9.072911455727864,1.8724362181090546,3.721485742871436,13.972736368184092,0.29102051025512754
American Airlines Inc,AA,2023,7,8335,2582,29.94,25.505938812237552,10.705458908218356,1.256388722255549,3.8079184163167366,15.748530293941212,0.3097780443911218
American Airlines Inc,AA,2023,8,8517,2215,24.65,17.58436069038394,8.881765880004696,1.0070447340612891,2.044381824586122,14.069508042738054,0.2600680990959258
Delta Air Lines Inc,DL,2019,1,7549,906,5.93,-2.7794409855610014,2.949264803285203,0.6029937740098026,2.428003709100543,2.1944628427606307,0.12001589614518479
Delta Air Lines Inc,DL,2019,2,6941,1198,11.84,4.587235268693272,3.9469817029246506,1.9108197666042357,3.855928540556116,4.146232531335542,0.17259760841377322
Delta Air Lines Inc,DL,2019,3,8858,1120,6.24,-1.7064800180627682,2.7905847821178598,0.9514563106796117,1.779747121246331,2.115263039060736,0.12643937683449988
Delta Air Lines Inc,DL,2019,4,8408,1185,8.83,1.0417459562321598,3.85941960038059,0.6924357754519506,2.6233349191246433,3.464676498572788,0.1409372026641294
Delta Air Lines Inc,DL,2019,5,8718,1227,7.3,0.04530855700848819,3.01124111034641,0.3072952512044047,2.700389997705896,2.732736866253728,0.14074328974535444
Delta Air Lines Inc,DL,2019,6,8707,1745,12.74,7.061444814517055,4.441139313196278,0.8400137820144711,3.7328586195015503,4.865855059147812,0.20041346043413347
Delta Air Lines Inc,DL,2019,7,9166,1796,14.85,8.399192668557713,5.823478071132446,1.1597207069605062,3.6650665502945667,5.300130918612263,0.19594152301985598
Delta Air Lines Inc,DL,2019,8,9222,1518,10.35,4.19496855345912,4.65820863153329,0.5323140316634136,3.444805898937324,3.362177401865105,0.1646063760572544
Delta Air Lines Inc,DL,2019,9,8396,822,3.99,-2.0955216769890423,2.4922582181991424,0.34718913768461174,2.0394235350166747,1.7022391615054788,0.09790376369699857
Delta Air Lines Inc,DL,2019,10,8740,1018,4.41,-0.5859267734553776,2.786842105263158,0.2491990846681922,2.013157894736842,1.9209382151029748,0.11647597254004577
Delta Air Lines Inc,DL,2019,11,8182,927,4.89,-2.1145196773405037,2.5612319726228305,0.31190417990711317,1.8323148374480567,2.3504033243705695,0.1132974822781716
Delta Air Lines Inc,DL,2019,12,8157,1261,7.51,-0.01961505455437048,3.0215765600098075,0.5417432879735197,2.8228515385558417,2.3887458624494298,0.15459114870663235
Delta Air Lines Inc,DL,2022,1,6798,1015,7.49,-0.9499852897911151,4.903206825536922,0.5817887614004119,1.4905854663136215,2.092233009708738,0.1493086201824066
Delta Air Lines Inc,DL,2022,2,6343,921,7.07,-1.3037994639760366,3.83793157811761,0.6530033107362446,1.6897367176414946,2.3145199432445214,0.1451994324452152
Delta Air Lines Inc,DL,2022,3,7523,1393,12.37,5.047055695866011,6.29974744118038,0.7911737338827596,2.389073507909079,3.7282998803668748,0.18516549248969827
Delta Air Lines Inc,DL,2022,4,7401,1326,10.32,3.578570463450885,5.435076341034995,0.34008917713822456,2.1226861234968246,3.2478043507634102,0.17916497770571543
Delta Air Lines Inc,DL,2022,5,7632,1355,10.96,4.103249475890985,6.337788259958072,0.2112159329140461,1.5766509433962264,3.0559486373165616,0.177541928721174
Delta Air Lines Inc,DL,2022,6,7634,1719,14.79,7.0666753995284255,7.4470788577416815,0.5031438302331674,2.5770238407126014,4.211291590254127,0.22517684045061567
Delta Air Lines Inc,DL,2022,7,7798,1560,11.85,5.072069761477302,6.730700179533214,0.5343677866119518,1.887150551423442,3.7073608617594256,0.20005129520389844
Delta Air Lines Inc,DL,2022,8,7946,1321,10.07,3.1204379562043796,5.907248930279386,0.4867858041782029,2.3687389881701484,2.6506418323684873,0.1662471683866096
Delta Air Lines Inc,DL,2022,9,7606,783,4.37,-3.5879568761504075,3.673021298974494,0.12292926636865632,1.1168814094136208,1.489481987904286,0.1029450433867999
Delta Air Lines Inc,DL,2022,10,7798,869,4.6,-2.8622723775327006,3.657604513977943,0.16722236470889973,1.063734290843806,1.4733264939728135,0.11143883046935112
Delta Air Lines Inc,DL,2022,11,7630,1025,6.86,0.5850589777195282,4.2146788990825685,0.48466579292267364,1.8381389252948885,2.268283093053735,0.1343381389252949
Delta Air Lines Inc,DL,2022,12,7566,1568,12.79,5.770288131112873,6.751519957705525,0.8945281522601111,2.2718741739360295,3.6584721120803594,0.20724292889241344
Delta Air Lines Inc,DL,2023,1,7634,1545,14.21,7.455462405030128,7.867304165575059,0.797353942887084,2.804689546764475,4.3429394812680115,0.20238407126015195
Delta Air Lines Inc,DL,2023,2,6858,1147,11.17,3.0507436570428696,6.700058326042578,0.6771653543307087,1.8878681831437738,3.5653251676873725,0.16724992709244677
Delta Air Lines Inc,DL,2023,3,8298,1852,14.25,8.1353338153772,6.936008676789588,1.0780911062906724,3.1717281272595805,4.487346348517715,0.22318630995420582
Delta Air Lines Inc,DL,2023,4,7919,1451,11.15,4.387422654375553,6.499305467862103,0.38679126152291954,2.249905291072105,3.4149513827503473,0.18323020583406996
Delta Air Lines Inc,DL,2023,5,8702,1208,6.84,-1.19466789243852,4.793495748103884,0.3370489542633877,1.0413698000459664,1.9952884394392094,0.13881866237646517
Delta Air Lines Inc,DL,2023,6,8702,2150,17.25,10.324293265915882,8.308664674787405,0.7308664674787405,2.8157894736842106,5.820271202022523,0.2470696391634107
Delta Air Lines Inc,DL,2023,7,8921,2327,18.23,10.968837574262976,8.375518439636812,1.0059410380002243,2.9094271942607333,6.163658782647685,0.2608451967268243
Delta Air Lines Inc,DL,2023,8,8873,1808,14.21,6.146173785641834,7.203538825650851,1.1545136932266427,2.3617716668545023,4.531387354896879,0.2037642285585484
Endeavor Air Inc,9E,2019,1,2021,384,10.49,3.1093518060366154,3.190499752597724,0.8060366155368629,3.962889658584859,6.849579416130628,0.190004948045522
Endeavor Air Inc,9E,2019,2,1801,353,10.69,4.05941143808995,4.117712382009994,0.5880066629650195,3.9844530816213215,6.177679067184897,0.1960022209883398
